192.168.1.1,false
192.168.1.1,false
192.168.1.1,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
192.168.1.1,10,false
04-06-2025 17:07:56,100,20,15,
04-06-2025 17:42:25,100,20,15,
06-06-2025 11:41:37,100,20,15,
06-06-2025 14:55:02,100,20,15,
06-06-2025 17:01:22,100,20,15,
06-06-2025 17:13:39,100,20,15,
