INFO: 13-03-2025 20:39:57, my_nn, training done
INFO: 13-03-2025 20:42:17, my_nn, training done
INFO: 18-03-2025 16:36:12, my_nn, training done
INFO: 18-03-2025 17:36:13, my_nn, training done
INFO: 18-03-2025 17:39:00, my_nn, training done
INFO: 18-03-2025 17:40:58, my_nn, training done
INFO: 18-03-2025 17:49:45, my_nn, training done
INFO: 18-03-2025 17:54:26, my_nn, training done
INFO: 24-03-2025 20:42:05, my_nn, training done
INFO: 24-03-2025 21:57:09, my_nn, training done
INFO: 24-03-2025 21:57:22, my_nn, training done
